block_number,block_time,tx_hash,tx_index,from_addr,to_addr,mev_bot_label,base_fees,priority_fees,cb_transfer,mev_value,volume,token_bought_amount,token_sold_amount,token_bought_contract,token_sold_contract,token_bought_symbol,token_sold_symbol,pair,multi_trade,builder_label
17873499,2023-08-08 23:33:35.000 UTC,0x062dd0d376b06b284b38d82eeca6001c428d11f65d45d8834b2b2eb8ae03fcea,1,0x0cac3d1a887206e0f6169222c4504301a8b4b993,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.002354161809408411,0,0.005325477723643751,0.005325477723643751,8207.374163030312,4.4177920998117735,6961817822.344123,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6982508145454ce325ddbe47a25d4ec3d2311933,ETH,PEPE,PEPE-WETH,0,beaverbuild
17871728,2023-08-08 17:35:47.000 UTC,0x32f5be1f0a3adad78de503d00cbf0ab0f8bded12e9c8e30fdec9b0c18a1fd594,2,0xfa1d4ce9f0423bf353795ba85b47c3bb46e9a69f,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.0042533620699354195,0,0.000476385145428692,0.000476385145428692,1621.662910863668,268.8459270301114,1625.960324,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xdac17f958d2ee523a2206206994597c13d831ec7,UNI,USDT,UNI-USDT,0,beaverbuild
17873498,2023-08-08 23:33:23.000 UTC,0xf685d873e48b6d552c3dea9f487807f61469306da1a43dd8e70ccc0ea4946ecf,26,0x127620319bcace9a4b2d9c2b4b67d5b2d85654d6,0x6f1cdbbb4d53d226cf4b917bf768b94acbab6168,Shen,0.002337439522020816,0,0.000197095962295609,0.000197095962295609,4983.323435973496,2.68237885454489,4220154885.1054683,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6982508145454ce325ddbe47a25d4ec3d2311933,ETH,PEPE,PEPE-WETH,0,builder0x69
17873221,2023-08-08 22:37:11.000 UTC,0xa8dd41c8e8a8422f294d6c0c485896e63aaefb3e56934d91cb4abf733f0e518d,2,0x1bcc0bf595d589c87a74b9a53db37719ba64eff1,0x6f1cdbbb4d53d226cf4b917bf768b94acbab6168,Shen,0.003770066341238775,0,0.008167245429127664,0.008167245429127664,102437.68849875171,102461.767014,3.44593652,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,USDC,WBTC,USDC-WBTC,0,beaverbuild
17869638,2023-08-08 10:34:23.000 UTC,0x9891dbc55c135debab6d981e1280e902f0fb138b9b233899c8cc4210999a0f8f,5,0xd2a66c0c6c9f38b4d94fabe0b96a909a37ed0f92,0x8876819535b48b551c9e97ebc07332c7482b4b2d,,0.002626910973908784,0.002685812099908968,0,0.002685812099908968,5998.184094969637,39115.234,6000.158147,0x43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd,0xdac17f958d2ee523a2206206994597c13d831ec7,DODO,USDT,DODO-USDT,0,beaverbuild
17869702,2023-08-08 10:47:11.000 UTC,0x506c1496856c26d29dd8e3060c07f77b6827efa62d9c97189b6457505d9b87b1,0,0x19b446b75c218a14f8f6c8011dc314aa60cf09fa,0x6f1cdbbb4d53d226cf4b917bf768b94acbab6168,Shen,0.002100969545384385,0,0.012417152561846112,0.012417152561846112,51048.75451841605,45580884215.6333,27.857285645598687,0x6982508145454ce325ddbe47a25d4ec3d2311933,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,PEPE,ETH,PEPE-WETH,0,beaverbuild
17871492,2023-08-08 16:48:11.000 UTC,0x5fa590cadd101eacafb7ca9809691eaea6eaea74728afd9d3c634c8b6167c3bd,5,0x127620319bcace9a4b2d9c2b4b67d5b2d85654d6,0x6f1cdbbb4d53d226cf4b917bf768b94acbab6168,Shen,0.003561831399868221,0,0.023288715004128817,0.023288715004128817,50915.61617444283,43154701582.28276,27.531925710631867,0x6982508145454ce325ddbe47a25d4ec3d2311933,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,PEPE,ETH,PEPE-WETH,0,beaverbuild
17871460,2023-08-08 16:41:47.000 UTC,0x74014fe2dabd067b279c3b27dd86172616bff1010a8e3d1d838d01b1de0cc0f5,0,0x1cc6e4d1fed32d931cc1eb00edb42fab7279b8a8,0x6f1cdbbb4d53d226cf4b917bf768b94acbab6168,Shen,0.0035940212196741124,0,0.004829067444870887,0.004829067444870887,25415.70546141305,21825801006.89464,13.7511526849107,0x6982508145454ce325ddbe47a25d4ec3d2311933,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,PEPE,ETH,PEPE-WETH,0,rsync-builder
17873085,2023-08-08 22:09:47.000 UTC,0x1b6e230c47438e91f9a5e1a32b2fe889681150046b9642fd98240d8ba57b7a34,12,0xfa1d4ce9f0423bf353795ba85b47c3bb46e9a69f,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.002575266157753303,0,0.000290256259267789,0.000290256259267789,12600.160006635591,6.772277018427665,0.4228832,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,ETH,WBTC,WBTC-WETH,0,beaverbuild
17867092,2023-08-08 02:01:23.000 UTC,0x201f7981e9a68c54f8fe51bf03bb68edc0aa7026b0a959665b963ab41fcc107c,3,0x065e3dbafcb2c26a978720f9eb4bce6ad9d644a1,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.0015269359497126179,0,0.001721582240436953,0.001721582240436953,3033.536339636253,1.6618474524138562,2984.7346028437128,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,ETH,LQTY,LQTY-WETH,0,beaverbuild
17871633,2023-08-08 17:16:35.000 UTC,0xe4c865f633d75d5023578ba9783d7175246fa13799c262eae6d4d08a49f2917c,10,0x4603180bbb8221157880afaa84638e0fc467738d,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.003183821332445225,0,7.1621585537e-7,7.1621585537e-7,2503.6894593973802,261752701.96462896,1.3516943946300088,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,SHIB,ETH,SHIB-WETH,0,beaverbuild
17867211,2023-08-08 02:25:11.000 UTC,0x75cc71fa2774ce03d59d8802f1bb113307f6c72dbcc2807d637739716bce1bf2,4,0xfa1d4ce9f0423bf353795ba85b47c3bb46e9a69f,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.001317933725955418,0,0.03685257210641995,0.03685257210641995,17203.541592591006,9.416742802103554,8778.59998178238,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x163f8c2467924be0ae7b5347228cabf260318753,ETH,WLD,WETH-WLD,0,beaverbuild
17871487,2023-08-08 16:47:11.000 UTC,0xbb6c18f220752b88f68d2b7380974fb4690590becf5db5148acc33f600c391cd,0,0x1ea6588340b8945c7927f0a70a02d86c699cba41,0x6f1cdbbb4d53d226cf4b917bf768b94acbab6168,Shen,0.0038940278175140404,0,0.020726217140754868,0.020726217140754868,50899.838650271784,43354942930.13236,27.52339422940837,0x6982508145454ce325ddbe47a25d4ec3d2311933,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,PEPE,ETH,PEPE-WETH,0,beaverbuild
17873226,2023-08-08 22:38:11.000 UTC,0x04b4249c0746bed1bd856e5a9eee0ec30e1b4f0f96ae63adab5ccc02be7618ca,125,0x137d923e679ed4fe7a0ecc01c34f5bfb2722d562,0x6f1cdbbb4d53d226cf4b917bf768b94acbab6168,Shen,0.00330062087492787,0,0.009594726035707313,0.009594726035707313,204926.7872052648,204974.95632,110.4227892785747,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDC,ETH,USDC-WETH,0,Titan
17867055,2023-08-08 01:53:59.000 UTC,0x6317dc35aade4d0cad01a36f443f3ef442f57e3109a6374605d9f8914a4c8682,7,0xfa1d4ce9f0423bf353795ba85b47c3bb46e9a69f,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.002328655851099344,0,0.00079935177425235,0.00079935177425235,3343.2980636481516,1.8305098271755016,1345.8181361547372,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,ETH,SNX,SNX-WETH,0,beaverbuild
17872313,2023-08-08 19:34:11.000 UTC,0x2d429b1626b3636e4616bd06daf9e424562170de1a102223dceea8522e810447,23,0x065e3dbafcb2c26a978720f9eb4bce6ad9d644a1,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.003205209000803944,0,0.000359310774162859,0.000359310774162859,4986.9056371075185,2.6810888195929734,4118894959.041325,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6982508145454ce325ddbe47a25d4ec3d2311933,ETH,PEPE,PEPE-WETH,0,beaverbuild
17871067,2023-08-08 15:22:11.000 UTC,0x88ba2c689b0520b734377c7d97a949d77f81b67ebd065ffcb541e4d4790d320c,3,0xfa1d4ce9f0423bf353795ba85b47c3bb46e9a69f,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.003577592158080312,0,0.001306043312499239,0.001306043312499239,4806.217922729544,6642.2254371272775,2.610868850112472,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,SUSHI,ETH,SUSHI-WETH,0,beaverbuild
17871507,2023-08-08 16:51:11.000 UTC,0xb20a834cc368cb11807ed053beeabee0af28eb19dfb6c0d063304b38defc5e47,13,0x065e3dbafcb2c26a978720f9eb4bce6ad9d644a1,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.004067787026976588,0,0.003666238909348777,0.003666238909348777,45638.208858132595,24.65850565867517,45782.528846,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,ETH,USDT,USDT-WETH,0,beaverbuild
17867855,2023-08-08 04:35:11.000 UTC,0xa102a9f2429819f310b3404e017217aa9c6cd807cd140e3eaf3273171e0ba873,3,0xafdaa6776ce03307469014a90f6b349c3b811e26,0xe8cfad4c75a5e1caf939fd80afcf837dde340a69,Galio,0.00282494226284676,0.009326159529899519,0,0.009326159529899519,238072.25569763232,130.0287591471131,237998.156045,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ETH,USDC,USDC-WETH,0,rsync-builder
17872821,2023-08-08 21:16:35.000 UTC,0xaa157d4f04654d6c3b7e9f5a9141f251ef83fff9392b78e15c8c433e1a76d716,98,0xfa1d4ce9f0423bf353795ba85b47c3bb46e9a69f,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.002691794743861304,0,0.000480142330312584,0.000480142330312584,478.4735194707635,0.25657480197912086,436.27375053163246,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xde30da39c46104798bb5aa3fe8b9e0e1f348163f,ETH,GTC,GTC-WETH,0,beaverbuild
17872811,2023-08-08 21:14:35.000 UTC,0xf8eeb5326df80326e6108ad53a37629b5e70734ee3932a94ea48cc6b1c2da78f,23,0x1c8f6a5f009e051cab9c3851ca2da2c936b2775a,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.002840501164136996,0,0.000223111774673022,0.000223111774673022,21273.505286997897,11.42465389969115,21310.944372152208,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b175474e89094c44da98b954eedeac495271d0f,ETH,DAI,DAI-WETH,0,beaverbuild
